n,value,kryt,device
17,-2794.9633831317315,AIC,refrigerator
17,-1084.1064184886545,BIC,refrigerator
17,6518.993200226403,log_lig,microwave
17,-12393.986400452806,AIC,microwave
17,-10683.12943580973,BIC,microwave
18,4619.126610419369,log_lig,ligthing2
18,-8520.253220838738,AIC,ligthing2
18,-6612.807101873321,BIC,ligthing2
18,5768.178841699626,log_lig,lighting5
18,-10818.357683399252,AIC,lighting5
18,-8910.911564433834,BIC,lighting5
18,5167.587674031055,log_lig,lighting4
18,-9617.17534806211,AIC,lighting4
18,-7709.7292290966925,BIC,lighting4
18,-2946.1541535637357,log_lig,refrigerator
18,6610.308307127471,AIC,refrigerator
18,8517.75442609289,BIC,refrigerator
18,6551.409443744104,log_lig,microwave
18,-12384.818887488207,AIC,microwave
18,-10477.37276852279,BIC,microwave
19,4595.84994511649,log_lig,ligthing2
19,-8395.69989023298,AIC,ligthing2
19,-6281.03817617104,BIC,ligthing2
19,5855.288045840182,log_lig,lighting5
19,-10914.576091680365,AIC,lighting5
19,-8799.914377618425,BIC,lighting5
19,5585.725136476082,log_lig,lighting4
19,-10375.450272952165,AIC,lighting4
19,-8260.788558890225,BIC,lighting4
19,-2534.865331568259,log_lig,refrigerator
19,5865.730663136518,AIC,refrigerator
19,7980.392377198458,BIC,refrigerator
19,7268.989938074562,log_lig,microwave
19,-13741.979876149124,AIC,microwave
19,-11627.318162087184,BIC,microwave
